docname,from,to,pre,keyword,post,pattern
swing_state_showcase_everything_you_need_to_know_about_the_race_in_georgia.txt_1890,18,18,"The leading voting issue for Georgia residents is inflation , followed by “ preserving democracy , ”",immigration,", abortion , healthcare , crime , and the war in the Middle East , a recent Marist survey revealed . Trump got better marks when it came to the economy , immigration , and the war in the Middle East , while Harris was viewed as being stronger on",immigration
swing_state_showcase_everything_you_need_to_know_about_the_race_in_georgia.txt_1890,40,40,"The leading voting issue for Georgia residents is inflation , followed by “ preserving democracy , ” immigration , abortion , healthcare , crime , and the war in the Middle East , a recent Marist survey revealed .",Trump,"got better marks when it came to the economy , immigration , and the war in the Middle East , while Harris was viewed as being stronger on abortion and democracy .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_georgia.txt_1890,51,51,"The leading voting issue for Georgia residents is inflation , followed by “ preserving democracy , ” immigration , abortion , healthcare , crime , and the war in the Middle East , a recent Marist survey revealed . Trump got better marks when it came to the economy ,",immigration,", and the war in the Middle East , while Harris was viewed as being stronger on abortion and democracy .",immigration
swing_state_showcase_everything_you_need_to_know_about_the_race_in_georgia.txt_1890,62,62,"by “ preserving democracy , ” immigration , abortion , healthcare , crime , and the war in the Middle East , a recent Marist survey revealed . Trump got better marks when it came to the economy , immigration , and the war in the Middle East , while",Harris,was viewed as being stronger on abortion and democracy .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1905,5,5,Other than a brief,moment,"after she launched her candidacy , Harris has lagged behind Trump in the Tar Heel state . The former president’s lead has widened over the past few weeks , and he currently has a 1.5 % lead in North Carolina , according to Decision Desk .",men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1905,12,12,"Other than a brief moment after she launched her candidacy ,",Harris,"has lagged behind Trump in the Tar Heel state . The former president’s lead has widened over the past few weeks , and he currently has a 1.5 % lead in North Carolina , according to Decision Desk .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1905,16,16,"Other than a brief moment after she launched her candidacy , Harris has lagged behind",Trump,"in the Tar Heel state . The former president’s lead has widened over the past few weeks , and he currently has a 1.5 % lead in North Carolina , according to Decision Desk .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1906,3,3,Prior to,Harris,"becoming the nominee , Trump looked to run away with the state , enjoying a 5-6 % lead over President Joe Biden , according to RealClearPolitics .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1906,8,8,"Prior to Harris becoming the nominee ,",Trump,"looked to run away with the state , enjoying a 5-6 % lead over President Joe Biden , according to RealClearPolitics .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1908,38,38,"North Carolina has been a reliably red state for 10 out of the past 12 elections , only voting Democrat in 1976 ( Jimmy Carter ) and 2008 ( Barack Obama ) . The odds are in",Trump’s,"favor , as the state voted for him in 2016 and 2020 .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1909,1,1,,Trump,"won the state in 2016 with 173,315 more votes than Hillary Clinton , The New York Times reported , getting 49.8 % of the vote to Clinton’s 46.2 % . Trump increased his vote share percentage in 2020 to 50.1 % , but Biden narrowed Clinton’s loss to just 74,481",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1909,32,32,"Trump won the state in 2016 with 173,315 more votes than Hillary Clinton , The New York Times reported , getting 49.8 % of the vote to Clinton’s 46.2 % .",Trump,"increased his vote share percentage in 2020 to 50.1 % , but Biden narrowed Clinton’s loss to just 74,481 votes , or 48.7 % of the vote , POLITICO reported , making North Carolina Trump’s narrowest victory of the election .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1909,67,67,"York Times reported , getting 49.8 % of the vote to Clinton’s 46.2 % . Trump increased his vote share percentage in 2020 to 50.1 % , but Biden narrowed Clinton’s loss to just 74,481 votes , or 48.7 % of the vote , POLITICO reported , making North Carolina",Trump’s,narrowest victory of the election .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1911,2,2,The,Harris,"campaign has continued its national strategy in North Carolina , focusing on abortion and falsely claiming that Trump would sign a national abortion ban , an idea he has repeatedly disavowed . Harris has also claimed that Trump would cut taxes for billionaires while she would cut taxes for the",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1911,20,20,"The Harris campaign has continued its national strategy in North Carolina , focusing on abortion and falsely claiming that",Trump,"would sign a national abortion ban , an idea he has repeatedly disavowed . Harris has also claimed that Trump would cut taxes for billionaires while she would cut taxes for the middle class , even though her administration hasn’t done so . Trump’s administration did cut taxes for nearly",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1911,35,35,"The Harris campaign has continued its national strategy in North Carolina , focusing on abortion and falsely claiming that Trump would sign a national abortion ban , an idea he has repeatedly disavowed .",Harris,"has also claimed that Trump would cut taxes for billionaires while she would cut taxes for the middle class , even though her administration hasn’t done so . Trump’s administration did cut taxes for nearly all Americans , despite media claims otherwise . If Harris is referring to her plan",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1911,40,40,"The Harris campaign has continued its national strategy in North Carolina , focusing on abortion and falsely claiming that Trump would sign a national abortion ban , an idea he has repeatedly disavowed . Harris has also claimed that",Trump,"would cut taxes for billionaires while she would cut taxes for the middle class , even though her administration hasn’t done so . Trump’s administration did cut taxes for nearly all Americans , despite media claims otherwise . If Harris is referring to her plan to end taxes on tips",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1911,64,64,"on abortion and falsely claiming that Trump would sign a national abortion ban , an idea he has repeatedly disavowed . Harris has also claimed that Trump would cut taxes for billionaires while she would cut taxes for the middle class , even though her administration hasn’t done so .",Trump’s,"administration did cut taxes for nearly all Americans , despite media claims otherwise . If Harris is referring to her plan to end taxes on tips , that is a plan she lifted from Trump .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1911,80,80,"he has repeatedly disavowed . Harris has also claimed that Trump would cut taxes for billionaires while she would cut taxes for the middle class , even though her administration hasn’t done so . Trump’s administration did cut taxes for nearly all Americans , despite media claims otherwise . If",Harris,"is referring to her plan to end taxes on tips , that is a plan she lifted from Trump .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1911,99,99,"cut taxes for the middle class , even though her administration hasn’t done so . Trump’s administration did cut taxes for nearly all Americans , despite media claims otherwise . If Harris is referring to her plan to end taxes on tips , that is a plan she lifted from",Trump,.,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1912,1,1,,Trump’s,ads in the state have focused on Harris’s support for allowing illegal inmates in jail to receive taxpayer-funded sex changes .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1912,9,9,Trump’s ads in the state have focused on,Harris’s,support for allowing illegal inmates in jail to receive taxpayer-funded sex changes .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1923,18,18,"New Hanover , however , typically votes Republican . The county swung for Romney in 2012 and",Trump,"in 2016 , albeit by small margins . Biden won the county in 2020 , even though Trump won the state . So , New Hanover will be a good bellwether for how the country may ultimately decide .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1923,36,36,"New Hanover , however , typically votes Republican . The county swung for Romney in 2012 and Trump in 2016 , albeit by small margins . Biden won the county in 2020 , even though",Trump,"won the state . So , New Hanover will be a good bellwether for how the country may ultimately decide .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1930,64,64,"voted for Democrat governors in nine out of the last 12 elections . It appears 2024 will also go in the Democrat’s favor , with Josh Stein up 14 percentage points over Republican candidate Mark Robinson . It does not appear that Robinson’s poor performance will be a drag on",Trump,"in the state . Robinson has been blasted for his past statements saying he would ban abortion without exception , with ads featuring his comments playing almost around the clock .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1930,76,76,". It appears 2024 will also go in the Democrat’s favor , with Josh Stein up 14 percentage points over Republican candidate Mark Robinson . It does not appear that Robinson’s poor performance will be a drag on Trump in the state . Robinson has been blasted for his past",statements,"saying he would ban abortion without exception , with ads featuring his comments playing almost around the clock .",men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1930,89,89,"Josh Stein up 14 percentage points over Republican candidate Mark Robinson . It does not appear that Robinson’s poor performance will be a drag on Trump in the state . Robinson has been blasted for his past statements saying he would ban abortion without exception , with ads featuring his",comments,playing almost around the clock .,men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1931,98,98,"Buckhout . The district has a + 1 Republican advantage and is largely rural outside of a couple of cities . Decision Desk still gives Davis a 76 % chance to win the seat , thanks to the incumbent advantage . It remains to be seen what kind of help",Harris,or Trump could provide for their respective parties in this race .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1931,100,100,"The district has a + 1 Republican advantage and is largely rural outside of a couple of cities . Decision Desk still gives Davis a 76 % chance to win the seat , thanks to the incumbent advantage . It remains to be seen what kind of help Harris or",Trump,could provide for their respective parties in this race .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1933,17,17,There is only one ballot measure on the ticket in North Carolina for 2024 : an,amendment,to the state constitution that would prohibit state and local governments from allowing noncitizens to vote .,men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_north_carolina.txt_1933,28,28,There is only one ballot measure on the ticket in North Carolina for 2024 : an amendment to the state constitution that would prohibit state and local,governments,from allowing noncitizens to vote .,men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1945,15,15,"The Keystone State is important for both candidates , but considered a must-win for",Kamala,Harris .,kamala
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1945,16,16,"The Keystone State is important for both candidates , but considered a must-win for Kamala",Harris,.,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1947,9,9,The Keystone State is critical for former President,Donald,"Trump , but considered a must-win for Vice President Kamala Harris . Losing would significantly complicate her path to victory .",donald
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1947,10,10,The Keystone State is critical for former President Donald,Trump,", but considered a must-win for Vice President Kamala Harris . Losing would significantly complicate her path to victory .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1947,19,19,"The Keystone State is critical for former President Donald Trump , but considered a must-win for Vice President",Kamala,Harris . Losing would significantly complicate her path to victory .,kamala
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1947,20,20,"The Keystone State is critical for former President Donald Trump , but considered a must-win for Vice President Kamala",Harris,. Losing would significantly complicate her path to victory .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1951,4,4,The polls show,Trump,"with a tiny 0.4 % sliver of a lead in Pennsylvania , according to the RealClearPolitics polling average .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1952,12,12,"Just before President Joe Biden suspended his campaign in July ,",Trump,"had a four point lead in Pennsylvania , a sizable lead for this state . As soon as Biden dropped out and Harris was informally installed as the Democratic nominee , she spiked in the polls , but she never led Trump by more than one point . Harris topped",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1952,35,35,"Just before President Joe Biden suspended his campaign in July , Trump had a four point lead in Pennsylvania , a sizable lead for this state . As soon as Biden dropped out and",Harris,"was informally installed as the Democratic nominee , she spiked in the polls , but she never led Trump by more than one point . Harris topped out in mid-September at 48.5 % to Trump’s 47.5 % , according to the RCP average .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1952,54,54,"Joe Biden suspended his campaign in July , Trump had a four point lead in Pennsylvania , a sizable lead for this state . As soon as Biden dropped out and Harris was informally installed as the Democratic nominee , she spiked in the polls , but she never led",Trump,"by more than one point . Harris topped out in mid-September at 48.5 % to Trump’s 47.5 % , according to the RCP average .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1952,61,61,", Trump had a four point lead in Pennsylvania , a sizable lead for this state . As soon as Biden dropped out and Harris was informally installed as the Democratic nominee , she spiked in the polls , but she never led Trump by more than one point .",Harris,"topped out in mid-September at 48.5 % to Trump’s 47.5 % , according to the RCP average .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1952,70,70,", a sizable lead for this state . As soon as Biden dropped out and Harris was informally installed as the Democratic nominee , she spiked in the polls , but she never led Trump by more than one point . Harris topped out in mid-September at 48.5 % to",Trump’s,"47.5 % , according to the RCP average .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1954,2,2,If,Harris,"loses Pennsylvania , she will have to win both Michigan and Wisconsin and one swing state in both the south and west to win the White House .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1957,15,15,"In 2020 , Biden won Pennsylvania by approximately 81,000 votes . In 2016 ,",Trump,"won the state by more than 44,000 votes .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1959,2,2,Before,Trump,"flipped Pennsylvania red in 2016 , no Republican had won the state since George H.W . Bush in 1988 . Ronald Reagan won Pennsylvania in both 1980 and 1984 .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1961,1,1,,Trump,"has made a strong play for Pennsylvania’s blue-collar voters , emphasizing energy independence , specifically his support for fracking and coal mining , two major industries in the state .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1963,3,3,"Meanwhile ,",Harris,"has hammered the abortion issue , especially in the more blue areas like the Philadelphia suburbs . Her campaign is trying to mobilize minority voters in urban areas , although Democrats have complained internally that she may not be doing enough to mobilize that demographic .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1966,39,39,"Pennsylvania is the one swing state where Democrats are enjoying an early lead in early voting — about 60 % of those who have voted early are registered Democrats , although that does not guarantee they voted for",Harris,.,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1967,11,11,"Pennsylvania does not have widespread early in-person voting , and",Trump,supporters tend to vote in person . This means Republicans could show up in large numbers on Election Day .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1976,13,13,"Governor Josh Shapiro , a Democrat who was widely expected to be",Harris,"’ running mate , will then formally affirm the election results and issue a list of the electors chosen for the Electoral College .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1980,65,65,"and Lackawanna County in the Scranton area will also be watched closely . Erie frequently flip-flops between red and blue , and Lackawanna is notable because President Joe Biden is from Scranton , and because it has a lot of blue-collar voters , a bloc that has increasingly turned towards",Trump,.,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1985,2,2,The,Trump,"campaign sued after their poll watchers were kicked out by local officials from “ satellite election offices ” in Philadelphia and several other counties , where some early votes were cast . A local judge rejected the suit , ruling that these locations were not official polling places . Philadelphia",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1987,27,27,Ballot drop boxes were hugely controversial in Pennsylvania and other swing states . Pennsylvania allowed drop boxes for mail-in ballots due to the pandemic . The,Trump,"campaign sued , arguing that drop boxes increase the risk of voter fraud , but a federal judge threw out that lawsuit . Some areas of the state are still using drop boxes this election cycle .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1992,12,12,Election certification was also a target of several challenges from the,Trump,"campaign and other Republicans . Claims about dead people voting in Pennsylvania circulated as well , although there was not much hard evidence of this happening frequently . Pennsylvania completed an audit involving a random sample of more than 45,000 ballots that supported Biden’s victory .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_pennsylvania.txt_1995,24,24,"Last week , election officials in Bucks County , also near Philadelphia , said a viral video appearing to show mail-in ballots for",Trump,being destroyed did not show “ authentic ” ballot materials . The video was reported to the FBI nevertheless .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2015,4,4,"Throughout August ,",Harris,"led Trump by as much as an average of five points before Trump started taking ground back in September and retook the lead in October . Trump currently leads Harris 48.8 % to 48.2 % , according to a DecisionDeskHQ average of 67 polls from Wisconsin .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2015,6,6,"Throughout August , Harris led",Trump,"by as much as an average of five points before Trump started taking ground back in September and retook the lead in October . Trump currently leads Harris 48.8 % to 48.2 % , according to a DecisionDeskHQ average of 67 polls from Wisconsin .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2015,17,17,"Throughout August , Harris led Trump by as much as an average of five points before",Trump,"started taking ground back in September and retook the lead in October . Trump currently leads Harris 48.8 % to 48.2 % , according to a DecisionDeskHQ average of 67 polls from Wisconsin .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2015,31,31,"Throughout August , Harris led Trump by as much as an average of five points before Trump started taking ground back in September and retook the lead in October .",Trump,"currently leads Harris 48.8 % to 48.2 % , according to a DecisionDeskHQ average of 67 polls from Wisconsin .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2015,34,34,"Throughout August , Harris led Trump by as much as an average of five points before Trump started taking ground back in September and retook the lead in October . Trump currently leads",Harris,"48.8 % to 48.2 % , according to a DecisionDeskHQ average of 67 polls from Wisconsin .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2016,5,5,DecisionDesk HQ now projects,Trump,"has a 55 % chance of winning Wisconsin , a major reversal after Harris was given a 59 % chance at the end of August .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2016,19,19,"DecisionDesk HQ now projects Trump has a 55 % chance of winning Wisconsin , a major reversal after",Harris,was given a 59 % chance at the end of August .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2017,1,1,,Trump,"winning Wisconsin would buck recent trends in the state , which Democrats won every year from 1988 until 2016 . Before that , Republicans won Wisconsin in every presidential election but two from 1952 to 1984 .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2018,11,11,"The top issues for Wisconsin voters are the economy ,",immigration,", and abortion . The most recent polling available from Marquette University Law School shows that 40 % of voters said the economy was the most important , 15 % said immigration and border security , and 12 % said abortion .",immigration
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2018,43,43,"The top issues for Wisconsin voters are the economy , immigration , and abortion . The most recent polling available from Marquette University Law School shows that 40 % of voters said the economy was the most important , 15 % said",immigration,"and border security , and 12 % said abortion .",immigration
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2019,1,1,,Trump,"is trusted by 51 % of voters on the issues of immigration and the economy while Harris was trusted by just 36 % of voters on those issues . On the issue of abortion , Harris was trusted by 53 % of voters compared to the 30 % of voters",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2019,13,13,Trump is trusted by 51 % of voters on the issues of,immigration,"and the economy while Harris was trusted by just 36 % of voters on those issues . On the issue of abortion , Harris was trusted by 53 % of voters compared to the 30 % of voters who trust Trump on the issue .",immigration
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2019,18,18,Trump is trusted by 51 % of voters on the issues of immigration and the economy while,Harris,"was trusted by just 36 % of voters on those issues . On the issue of abortion , Harris was trusted by 53 % of voters compared to the 30 % of voters who trust Trump on the issue .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2019,37,37,"Trump is trusted by 51 % of voters on the issues of immigration and the economy while Harris was trusted by just 36 % of voters on those issues . On the issue of abortion ,",Harris,was trusted by 53 % of voters compared to the 30 % of voters who trust Trump on the issue .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2019,54,54,"by 51 % of voters on the issues of immigration and the economy while Harris was trusted by just 36 % of voters on those issues . On the issue of abortion , Harris was trusted by 53 % of voters compared to the 30 % of voters who trust",Trump,on the issue .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2021,16,16,"Unlike Hillary Clinton’s notorious 2016 decision to skip campaigning in the Badger State , both",Trump,and Harris have campaigned heavily in the critical battleground .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2021,18,18,"Unlike Hillary Clinton’s notorious 2016 decision to skip campaigning in the Badger State , both Trump and",Harris,have campaigned heavily in the critical battleground .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2022,1,1,,Trump,"has at least two major rallies planned in Wisconsin for the final week of the campaign . On Wednesday , Trump will take the stage alongside football legend Brett Favre for a rally in Green Bay . Then on Friday , Trump will head to the Democratic stronghold of Milwaukee",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2022,22,22,"Trump has at least two major rallies planned in Wisconsin for the final week of the campaign . On Wednesday ,",Trump,"will take the stage alongside football legend Brett Favre for a rally in Green Bay . Then on Friday , Trump will head to the Democratic stronghold of Milwaukee — where he received the endorsement of the city’s police association — for another rally .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2022,43,43,"Trump has at least two major rallies planned in Wisconsin for the final week of the campaign . On Wednesday , Trump will take the stage alongside football legend Brett Favre for a rally in Green Bay . Then on Friday ,",Trump,will head to the Democratic stronghold of Milwaukee — where he received the endorsement of the city’s police association — for another rally .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2022,57,57,"rallies planned in Wisconsin for the final week of the campaign . On Wednesday , Trump will take the stage alongside football legend Brett Favre for a rally in Green Bay . Then on Friday , Trump will head to the Democratic stronghold of Milwaukee — where he received the",endorsement,of the city’s police association — for another rally .,men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2023,4,4,"On Monday ,",Trump’s,"running mate , Sen . JD Vance , spoke in both Wausau and Racine .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2024,1,1,,Harris,"has a rally scheduled at the University of Wisconsin in Madison on Wednesday , where she hopes to appeal to young voters through a joint appearance with Mumford & Sons . Earlier this month , Harris campaigned with former Republican Rep . Liz Cheney in Brookfield .",harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2024,37,37,"Harris has a rally scheduled at the University of Wisconsin in Madison on Wednesday , where she hopes to appeal to young voters through a joint appearance with Mumford & Sons . Earlier this month ,",Harris,campaigned with former Republican Rep . Liz Cheney in Brookfield .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2026,6,6,"In 2016 , former President",Donald,"Trump became the first Republican to carry Wisconsin since Ronald Reagan , winning the state by just over 20,000 votes .",donald
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2026,7,7,"In 2016 , former President Donald",Trump,"became the first Republican to carry Wisconsin since Ronald Reagan , winning the state by just over 20,000 votes .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2027,24,24,"Four years later , Wisconsin swung for President Joe Biden , again by just 20,000 votes . This year’s race between former President",Donald,Trump and Vice President Kamala Harris is again expected to be determined by a razor-thin margin as polls indicate a statistically tied race to claim the state’s 10 electoral votes .,donald
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2027,25,25,"Four years later , Wisconsin swung for President Joe Biden , again by just 20,000 votes . This year’s race between former President Donald",Trump,and Vice President Kamala Harris is again expected to be determined by a razor-thin margin as polls indicate a statistically tied race to claim the state’s 10 electoral votes .,trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2027,29,29,"Four years later , Wisconsin swung for President Joe Biden , again by just 20,000 votes . This year’s race between former President Donald Trump and Vice President",Kamala,Harris is again expected to be determined by a razor-thin margin as polls indicate a statistically tied race to claim the state’s 10 electoral votes .,kamala
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2027,30,30,"Four years later , Wisconsin swung for President Joe Biden , again by just 20,000 votes . This year’s race between former President Donald Trump and Vice President Kamala",Harris,is again expected to be determined by a razor-thin margin as polls indicate a statistically tied race to claim the state’s 10 electoral votes .,harris
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2041,11,11,Wausau Mayor Doug Diny is under investigation by the Justice,Department,after he moved the city’s drop box into his office because of concerns that it was secured to the ground outside city hall .,men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2048,22,22,"More than $ 10 million in Zuckerbucks was spent in Wisconsin during the 2020 election , according to the Foundation for",Government,Accountability . The FGA estimated that more than 80 % of the funding went to areas Biden won by an average of 37 points .,men
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2050,23,23,Other key elections in Wisconsin include a contentious contest between Democratic Sen . Tammy Baldwin and Republican challenger Eric Hovde . Like,Trump,", Hovde has jumped in the polls in recent weeks , with polls showing the race within one or two points .",trump
swing_state_showcase_everything_you_need_to_know_about_the_race_in_wisconsin.txt_2052,10,10,Voters will also have the opportunity to pass an,amendment,"to the state constitution that would ensure only American citizens are allowed to vote in national , state , and local elections .",men
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2057,10,10,‘ The American People Answered The Call ’ :,Trump,Visits Helene-Ravaged North Carolina,trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2063,1,1,,Trump,praised the response of the Western North Carolina community after it was hit by Hurricane Helene .,trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2064,3,3,Former President,Donald,"Trump visited Monday parts of western North Carolina ravaged by Hurricane Helene , praising the community response to the devastating storm .",donald
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2064,4,4,Former President Donald,Trump,"visited Monday parts of western North Carolina ravaged by Hurricane Helene , praising the community response to the devastating storm .",trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2065,7,7,"During a stop in Swannanoa ,",Trump,"thanked first responders and promised to help rebuild the region after widespread flooding and mudslides caused by Helene . The storm’s death toll has surpassed 230 across the Southeast , including nearly 100 people in North Carolina alone .",trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2066,35,35,"“ What happened to this neighborhood , and the communities all across North Carolina , South Carolina , Florida , Alabama , Virginia , Tennessee , was an act of absolute devastation , ”",Trump,"said . “ All of America shares your sorrow and your grief over the past few weeks . This region has seen an extraordinary hardship . But in the midst of such terrible tragedy , we have also seen the extraordinary love that binds us together as Americans . ”",trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2067,1,1,,Trump,"thanked the community for banding together after the storm , saying that “ nothing is more inspiring than to see the American spirit triumph over adversity with the most selfless acts of generosity and love . ”",trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2068,5,5,"During his remarks ,",Trump,"talked about 51-year-old firefighter Tony Ray Garrison of Fairview , North Carolina , who was killed by a mudslide alongside his nephew as they attempted to help storm victims .",trump
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2069,26,26,"“ In the wake of this horrible storm , many Americans in this region felt helpless , and abandoned , and left behind by their",government,". And yet , in North Carolina’s hour of desperation , the American people answered the call , much more so than your federal government , unfortunately , ” Trump said .",men
the_american_people_answered_the_call_trump_visits_helene_ravaged_north_carolina.txt_2069,51,51,"“ In the wake of this horrible storm , many Americans in this region felt helpless , and abandoned , and left behind by their government . And yet , in North Carolina’s hour of desperation , the American people answered the call , much more so than your federal",government,", unfortunately , ” Trump said .",men
